season,team_abbr,team,team_display_source,bye_week,final_result,points_for,points_against,venue,opponent,owner_username,pts,rost_pct,def_td,kr_td,st_td,ff,int,pt_allow,sack,tkl,fum_rec,qb_hit,source_start_line,source_final_line,source_team_lines,metric_source_lines
2024,BUF,Buffalo Bills,Buffalo Bills,7,W,34,28,vs,ARI,ebmookie,149,,3,,,17,16,368,39,1066,14,94,640,Final W 34-28 vs ARI,Buffalo. Bills | Buffalo. Bills,"644,645,646,647,648,649,650,651,652,653,654"
2024,HOU,Houston Texans,Houston Texans,8,W,29,27,@,IND,robfoulk,148,,3,,,10,19,370,49,958,7,98,658,Final W 29-27 @ IND,Houston. Texans,"662,663,664,665,666,667,668,669,670,671,672"
2024,CHI,Chicago Bears,Chicago Bears,10,W,24,17,vs,TEN,,137,,1,,,14,11,368,40,1050,13,100,675,Final W 24-17 vs TEN,Chicago. Bears | Chicago. Bears,"678,679,680,681,682,683,684,685,686,687,688"
2024,LAC,Los Angeles Chargers,Los Angeles Chargers,7,W,22,10,vs,LV,mafoulk,136,,1,,,8,15,299,46,1006,6,98,691,Final W 22-10 vs LV,Los Angeles. Chargers | Los Angeles. Chargers,"695,696,697,698,699,700,701,702,703,704,705"
2024,DET,Detroit Lions,Detroit Lions,6,W,26,20,vs,LAR,mafoulk,136,,1,,,11,16,334,37,907,8,110,708,Final W 26-20 vs LAR,Detroit. Lions | Detroit. Lions,"712,713,714,715,716,717,718,719,720,721,722"
2024,BAL,Baltimore Ravens,Baltimore Ravens,13,L,20,27,@,KC,Dbfoulkrod,132,,2,,,12,12,357,54,1005,5,122,725,Final L 20-27 @ KC,Baltimore. Ravens | Baltimore. Ravens,"729,730,731,732,733,734,735,736,737,738,739"
2024,DAL,Dallas Cowboys,Dallas Cowboys,14,W,33,17,@,CLE,,128,,1,,,16,13,456,52,1026,8,105,743,Final W 33-17 @ CLE,* | Dallas. Cowboys,"746,747,748,749,750,751,752,753,754,755,756"
2024,LAR,Los Angeles Rams,Los Angeles Rams,11,L,20,26,@,DET,ebmookie,127,,3,,,10,13,386,38,1091,6,72,759,Final L 20-26 @ DET,Los Angeles. Rams | Los Angeles. Rams,"763,764,765,766,767,768,769,770,771,772,773"
2024,KC,Kansas City Chiefs,Kansas City Chiefs,5,W,27,20,vs,BAL,ebmookie,119,,1,,,12,13,326,39,977,6,112,776,Final W 27-20 vs BAL,Kansas City. Chiefs | Kansas City. Chiefs,"780,781,782,783,784,785,786,787,788,789,790"
2024,TB,Tampa Bay Buccaneers,Tampa Bay Buccaneers,10,W,37,20,vs,WAS,Evenkeel75,118,,1,,,15,7,385,46,1005,9,114,793,Final W 37-20 vs WAS,Tampa Bay. Buccaneers | Tampa Bay. Buccaneers,"797,798,799,800,801,802,803,804,805,806,807"
2024,ARI,Arizona Cardinals,Arizona Cardinals,14,L,28,34,@,BUF,,116,,,,,16,9,373,41,1099,8,76,810,Final L 28-34 @ BUF,Arizona. Cardinals | Arizona. Cardinals,"813,814,815,816,817,818,819,820,821,822,823"
2024,CIN,Cincinnati Bengals,Cincinnati Bengals,6,L,10,16,vs,NE,,115,,2,,,12,15,416,36,1067,8,105,826,Final L 10-16 vs NE,Cincinnati. Bengals | Cincinnati. Bengals,"829,830,831,832,833,834,835,836,837,838,839"
2024,NO,New Orleans Saints,New Orleans Saints,8,W,47,10,vs,CAR,asmartaleck1,110,,,,,12,14,374,39,1044,3,84,842,Final W 47-10 vs CAR,New Orleans. Saints,"846,847,848,849,850,851,852,853,854,855,856"
2024,IND,Indianapolis Colts,Indianapolis Colts,13,L,27,29,vs,HOU,Evenkeel75,109,,1,,,17,16,415,36,1181,9,83,859,Final L 27-29 vs HOU,Indianapolis. Colts | Indianapolis. Colts,"863,864,865,866,867,868,869,870,871,872,873"
2024,NYJ,New York Jets,New York Jets,13,L,19,32,@,SF,,108,,,,,14,7,390,43,1037,8,84,876,Final L 19-32 @ SF,New York. Jets | New York. Jets,"879,880,881,882,883,884,885,886,887,888,889"
2024,ATL,Atlanta Falcons,Atlanta Falcons,11,L,10,18,vs,PIT,,108,,4,,,12,12,409,31,1061,5,74,892,Final L 10-18 vs PIT,Atlanta. Falcons | Atlanta. Falcons,"895,896,897,898,899,900,901,902,903,904,905"
2024,NYG,New York Giants,New York Giants,8,L,6,28,vs,MIN,Von937,107,,,,,15,5,385,45,1121,10,94,908,Final L 6-28 vs MIN,New York. Giants | New York. Giants,"912,913,914,915,916,917,918,919,920,921,922"
2024,WAS,Washington Commanders,Washington Commanders,7,L,20,37,@,TB,,104,,1,,,12,7,391,43,1011,8,88,925,Final L 20-37 @ TB,Washington. Commanders | Washington. Commanders,"928,929,930,931,932,933,934,935,936,937,938"
2024,SF,San Francisco 49ers,San Francisco 49ers,8,W,32,19,vs,NYJ,Dbfoulkrod,96,,1,,,11,11,436,37,1009,5,80,942,Final W 32-19 vs NYJ,San Francisco. 49ers | San Francisco. 49ers,"946,947,948,949,950,951,952,953,954,955,956"
2024,MIA,Miami Dolphins,Miami Dolphins,6,W,20,17,vs,JAX,,92,,,,,7,10,348,35,976,6,81,959,Final W 20-17 vs JAX,Miami. Dolphins | Miami. Dolphins,"962,963,964,965,966,967,968,969,970,971,972"
2024,CLE,Cleveland Browns,Cleveland Browns,11,L,17,33,vs,DAL,Evenkeel75,92,,1,,,11,4,417,41,1002,7,108,976,Final L 17-33 vs DAL,* | Cleveland. Browns,"980,981,982,983,984,985,986,987,988,989,990"
2024,TEN,Tennessee Titans,Tennessee Titans,9,L,17,24,@,CHI,,78,,,,,10,11,430,32,1033,5,67,993,Final L 17-24 @ CHI,Tennessee. Titans | Tennessee. Titans,"996,997,998,999,1000,1001,1002,1003,1004,1005,1006"
2024,LV,Las Vegas Raiders,Las Vegas Raiders,13,L,10,22,@,LAC,,77,,1,,,6,10,414,38,1044,3,86,1009,Final L 10-22 @ LAC,Las Vegas. Raiders | Las Vegas. Raiders,"1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022"
2024,JAX,Jacksonville Jaguars,Jacksonville Jaguars,7,L,17,20,@,MIA,Evenkeel75,75,,1,,,5,6,433,34,1095,2,68,1025,Final L 17-20 @ MIA,Jacksonville. Jaguars | Jacksonville. Jaguars,"1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039"
2024,NE,New England Patriots,New England Patriots,11,W,16,10,@,CIN,Von937,74,,1,,,9,7,405,28,1088,2,66,1042,Final W 16-10 @ CIN,New England. Patriots | New England. Patriots,"1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056"
2024,CAR,Carolina Panthers,Carolina Panthers,5,L,10,47,@,NO,Dbfoulkrod,48,,,,,8,9,528,32,1191,7,64,1059,Final L 10-47 @ NO,Carolina. Panthers | Carolina. Panthers,"1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073"
